Last Modified,URL,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8
2025-03-06,https://www.essex.ac.uk/centres-and-institutes/public-history,centres-and-institutes,public-history,,,,,,
2025-04-02,https://www.essex.ac.uk/centres-and-institutes/computational-intelligence,centres-and-institutes,computational-intelligence,,,,,,
2025-03-24,https://www.essex.ac.uk/centres-and-institutes/accountability-and-global-development,centres-and-institutes,accountability-and-global-development,,,,,,
2025-05-09,https://www.essex.ac.uk/centres-and-institutes/interdisciplinary-research-in-literary-studies,centres-and-institutes,interdisciplinary-research-in-literary-studies,,,,,,
2025-04-18,https://www.essex.ac.uk/centres-and-institutes/health-wellbeing-and-care-hub,centres-and-institutes,health-wellbeing-and-care-hub,,,,,,
2025-04-28,https://www.essex.ac.uk/centres-and-institutes/criminology,centres-and-institutes,criminology,,,,,,
2025-05-12,https://www.essex.ac.uk/centres-and-institutes/commons-organising-values-equalities-and-resilience,centres-and-institutes,commons-organising-values-equalities-and-resilience,,,,,,
2023-07-24,https://www.essex.ac.uk/sport/facilities/womens-high-performance-football-centre,sport,facilities,womens-high-performance-football-centre,,,,,
2023-05-02,https://www.essex.ac.uk/about/equality-diversity-inclusion,about,equality-diversity-inclusion,,,,,,
2023-09-19,https://www.essex.ac.uk/sport/community-engagement,sport,community-engagement,,,,,,
2023-08-17,https://www.essex.ac.uk/test/ebs-landing-demo,test,ebs-landing-demo,,,,,,
2023-11-23,https://www.essex.ac.uk/departments/government,departments,government,,,,,,
2024-01-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies,departments,psychosocial-and-psychoanalytic-studies,,,,,,
2023-10-12,https://www.essex.ac.uk/governance-and-strategy/university-strategy,governance-and-strategy,university-strategy,,,,,,
2024-04-16,https://www.essex.ac.uk/postgraduate/research,postgraduate,research,,,,,,
2024-05-16,https://www.essex.ac.uk/wivenhoe-park,wivenhoe-park,,,,,,,
2024-05-16,https://www.essex.ac.uk/event-series,event-series,,,,,,,
2024-05-16,https://www.essex.ac.uk/governance-and-strategy,governance-and-strategy,,,,,,,
2024-03-06,https://www.essex.ac.uk/jobs/women-in-stem,jobs,women-in-stem,,,,,,
2024-06-26,https://www.essex.ac.uk/about,about,,,,,,,
2024-05-16,https://www.essex.ac.uk/global,global,,,,,,,
2024-03-18,https://www.essex.ac.uk/life/accommodation/colchester/volunteer-square,life,accommodation,colchester,volunteer-square,,,,
2024-03-18,https://www.essex.ac.uk/life/accommodation/colchester/startup-square,life,accommodation,colchester,startup-square,,,,
2024-08-14,https://www.essex.ac.uk/postgraduate/masters,postgraduate,masters,,,,,,
2024-08-30,https://www.essex.ac.uk/research,research,,,,,,,
2024-09-03,https://www.essex.ac.uk/business,business,,,,,,,
2024-09-16,https://www.essex.ac.uk/departments/economics,departments,economics,,,,,,
2024-09-17,https://www.essex.ac.uk/schools-and-colleges,schools-and-colleges,,,,,,,
2024-09-20,https://www.essex.ac.uk/jobs,jobs,,,,,,,
2024-09-11,https://www.essex.ac.uk/alumni,alumni,,,,,,,
2024-05-24,https://www.essex.ac.uk/life/community-action-clinic,life,community-action-clinic,,,,,,
2024-10-08,https://www.essex.ac.uk/departments/law/essex-law-clinic,departments,law,essex-law-clinic,,,,,
2024-11-26,https://www.essex.ac.uk/sustainability,sustainability,,,,,,,
2024-11-21,https://www.essex.ac.uk/life/accommodation/colchester/athlete-village,life,accommodation,colchester,athlete-village,,,,
2024-05-16,https://www.essex.ac.uk/study-online,study-online,,,,,,,
2024-12-05,https://www.essex.ac.uk/about/faculty-of-science-and-health,about,faculty-of-science-and-health,,,,,,
2024-12-05,https://www.essex.ac.uk/about/faculty-of-social-sciences,about,faculty-of-social-sciences,,,,,,
2024-12-05,https://www.essex.ac.uk/about/faculty-of-arts-and-humanities,about,faculty-of-arts-and-humanities,,,,,,
2024-12-19,https://www.essex.ac.uk/postgraduate,postgraduate,,,,,,,
2025-01-30,https://www.essex.ac.uk/choir,choir,,,,,,,
2024-05-16,https://www.essex.ac.uk/visit-us,visit-us,,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/psychology,departments,psychology,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/language-and-linguistics,departments,language-and-linguistics,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/mathematics-statistics-and-actuarial-science,departments,mathematics-statistics-and-actuarial-science,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies,departments,literature-film-and-theatre-studies,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/edge-hotel-school,departments,edge-hotel-school,,,,,,
2025-02-28,https://www.essex.ac.uk/departments/life-sciences,departments,life-sciences,,,,,,
2025-03-14,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering,departments,computer-science-and-electronic-engineering,,,,,,
2025-03-07,https://www.essex.ac.uk/china,china,,,,,,,
2025-03-26,https://www.essex.ac.uk/undergraduate,undergraduate,,,,,,,
2025-03-26,https://www.essex.ac.uk/life,life,,,,,,,
2024-09-16,https://www.essex.ac.uk/departments/sociology,departments,sociology,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/essex-pathways,departments,essex-pathways,,,,,,
2025-04-01,https://www.essex.ac.uk/donate,donate,,,,,,,
2025-04-02,https://www.essex.ac.uk/apprenticeships,apprenticeships,,,,,,,
2025-03-24,https://www.essex.ac.uk/departments/health-and-social-care,departments,health-and-social-care,,,,,,
2025-04-10,https://www.essex.ac.uk/study-abroad,study-abroad,,,,,,,
2025-04-16,https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies,departments,philosophical-historical-and-interdisciplinary-studies,,,,,,
2025-04-15,https://www.essex.ac.uk/graduation,graduation,,,,,,,
2025-04-24,https://www.essex.ac.uk/life/accommodation/colchester/the-meadows,life,accommodation,colchester,the-meadows,,,,
2025-04-29,https://www.essex.ac.uk/life/accommodation/colchester/south-courts,life,accommodation,colchester,south-courts,,,,
2025-04-16,https://www.essex.ac.uk/scholarships,scholarships,,,,,,,
2024-11-26,https://www.essex.ac.uk/departments/law,departments,law,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/the-copse,life,accommodation,colchester,the-copse,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/south-towers,life,accommodation,colchester,south-towers,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/wolfson-court,life,accommodation,colchester,wolfson-court,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/the-pastures,life,accommodation,colchester,the-pastures,,,,
2025-04-29,https://www.essex.ac.uk/life/accommodation/colchester/north-towers,life,accommodation,colchester,north-towers,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/university-quays,life,accommodation,colchester,university-quays,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/the-houses,life,accommodation,colchester,the-houses,,,,
2025-04-24,https://www.essex.ac.uk/life/accommodation/southend/university-square,life,accommodation,southend,university-square,,,,
2025-05-13,https://www.essex.ac.uk/departments/essex-business-school,departments,essex-business-school,,,,,,
2025-05-09,https://www.essex.ac.uk/welcome,welcome,,,,,,,
2025-05-12,https://www.essex.ac.uk/life/accommodation,life,accommodation,,,,,,
2025-05-13,https://www.essex.ac.uk/international,international,,,,,,,
2023-06-08,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/group-and-institutional-dynamics,departments,psychosocial-and-psychoanalytic-studies,research,group-and-institutional-dynamics,,,,
2020-03-17,"https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/image,-fantasy-and-memory",departments,psychosocial-and-psychoanalytic-studies,research,"image,-fantasy-and-memory",,,,
2023-06-08,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/history-of-psychoanalysis,departments,psychosocial-and-psychoanalytic-studies,research,history-of-psychoanalysis,,,,
2022-09-13,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/comparative-psychoanalysis,departments,psychosocial-and-psychoanalytic-studies,research,comparative-psychoanalysis,,,,
2023-07-24,https://www.essex.ac.uk/about/faculty-of-arts-and-humanities/research/digital-cultural-and-creative-research-network,about,faculty-of-arts-and-humanities,research,digital-cultural-and-creative-research-network,,,,
2023-06-07,https://www.essex.ac.uk/about/faculty-of-arts-and-humanities/research/health-and-medical-humanities,about,faculty-of-arts-and-humanities,research,health-and-medical-humanities,,,,
2022-07-06,https://www.essex.ac.uk/research/topics/covid19,research,topics,covid19,,,,,
2022-12-22,"https://www.essex.ac.uk/departments/language-and-linguistics/research/language-variation,-identity-and-interaction",departments,language-and-linguistics,research,"language-variation,-identity-and-interaction",,,,
2022-12-22,https://www.essex.ac.uk/departments/language-and-linguistics/research/english-language-teaching,departments,language-and-linguistics,research,english-language-teaching,,,,
2022-12-22,https://www.essex.ac.uk/departments/essex-business-school/research/bafa-accounting-and-finance-in-emerging-economies-group,departments,essex-business-school,research,bafa-accounting-and-finance-in-emerging-economies-group,,,,
2023-07-18,https://www.essex.ac.uk/departments/essex-business-school/research/finance-group,departments,essex-business-school,research,finance-group,,,,
2023-06-08,https://www.essex.ac.uk/departments/essex-business-school/research/accounting-group,departments,essex-business-school,research,accounting-group,,,,
2023-06-08,https://www.essex.ac.uk/departments/essex-business-school/research/strategy-operations-and-entrepreneurship,departments,essex-business-school,research,strategy-operations-and-entrepreneurship,,,,
2023-01-13,https://www.essex.ac.uk/centres-and-institutes/human-rights/research-and-practice/health-human-rights-and-social-justice,centres-and-institutes,human-rights,research-and-practice,health-human-rights-and-social-justice,,,,
2022-06-28,https://www.essex.ac.uk/centres-and-institutes/human-rights/research-and-practice/human-rights-and-the-environment,centres-and-institutes,human-rights,research-and-practice,human-rights-and-the-environment,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/political-networks,centres-and-institutes,social-and-economic-network-analysis,political-networks,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/productivity-innovation-and-input-output-networks,centres-and-institutes,social-and-economic-network-analysis,productivity-innovation-and-input-output-networks,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/learning-from-others,centres-and-institutes,social-and-economic-network-analysis,learning-from-others,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/financial-networks-and-contagion,centres-and-institutes,social-and-economic-network-analysis,financial-networks-and-contagion,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/peer-effects-via-networks,centres-and-institutes,social-and-economic-network-analysis,peer-effects-via-networks,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/bilingualism-matters,centres-and-institutes,language-development-throughout-the-lifespan,bilingualism-matters,,,,,
2022-12-22,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/our-research/early-language-development,centres-and-institutes,language-development-throughout-the-lifespan,our-research,early-language-development,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/our-research/language-decline-attrition-ageing-and-impairments,centres-and-institutes,language-development-throughout-the-lifespan,our-research,language-decline-attrition-ageing-and-impairments,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/our-research/second-language-learning-and-teaching,centres-and-institutes,language-development-throughout-the-lifespan,our-research,second-language-learning-and-teaching,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/research-in-primary-languages,centres-and-institutes,language-development-throughout-the-lifespan,research-in-primary-languages,,,,,
2022-12-22,https://www.essex.ac.uk/departments/government/research/political-theory-and-discourse,departments,government,research,political-theory-and-discourse,,,,
2023-10-03,https://www.essex.ac.uk/about/faculty-of-science-and-health/research/ageing-and-assisted-living,about,faculty-of-science-and-health,research,ageing-and-assisted-living,,,,
2023-11-10,https://www.essex.ac.uk/departments/essex-business-school/research/organisation-studies-and-human-resource-management-group,departments,essex-business-school,research,organisation-studies-and-human-resource-management-group,,,,
