last modified,url,level_1,level_1,level_2,level_2,level_3,level_3,level_4,level_4,level_5,level_5,level_6,level_6,level_7,level_7,level_8,level_8
2024-08-06,https://www.essex.ac.uk/centres-and-institutes/global-health-and-intersectional-equity,centres-and-institutes,centres-and-institutes,global-health-and-intersectional-equity,global-health-and-intersectional-equity,,,,,,,,,,,,
2024-04-17,https://www.essex.ac.uk/centres-and-institutes/global-south,centres-and-institutes,centres-and-institutes,global-south,global-south,,,,,,,,,,,,
2024-10-09,https://www.essex.ac.uk/centres-and-institutes/childhood-studies,centres-and-institutes,centres-and-institutes,childhood-studies,childhood-studies,,,,,,,,,,,,
2024-05-30,https://www.essex.ac.uk/centres-and-institutes/conflict-and-cooperation,centres-and-institutes,centres-and-institutes,conflict-and-cooperation,conflict-and-cooperation,,,,,,,,,,,,
2024-10-24,https://www.essex.ac.uk/centres-and-institutes/migration-studies,centres-and-institutes,centres-and-institutes,migration-studies,migration-studies,,,,,,,,,,,,
2024-09-27,https://www.essex.ac.uk/centres-and-institutes/trauma-asylum-and-refugees,centres-and-institutes,centres-and-institutes,trauma-asylum-and-refugees,trauma-asylum-and-refugees,,,,,,,,,,,,
2024-05-30,https://www.essex.ac.uk/centres-and-institutes/economic-sociology-and-innovation,centres-and-institutes,centres-and-institutes,economic-sociology-and-innovation,economic-sociology-and-innovation,,,,,,,,,,,,
2024-12-13,https://www.essex.ac.uk/centres-and-institutes/environment-and-society,centres-and-institutes,centres-and-institutes,environment-and-society,environment-and-society,,,,,,,,,,,,
2024-12-13,https://www.essex.ac.uk/centres-and-institutes/accounting,centres-and-institutes,centres-and-institutes,accounting,accounting,,,,,,,,,,,,
2025-01-17,https://www.essex.ac.uk/centres-and-institutes/public-and-policy-engagement,centres-and-institutes,centres-and-institutes,public-and-policy-engagement,public-and-policy-engagement,,,,,,,,,,,,
2025-01-30,https://www.essex.ac.uk/centres-and-institutes/latin-american-and-caribbean-studies,centres-and-institutes,centres-and-institutes,latin-american-and-caribbean-studies,latin-american-and-caribbean-studies,,,,,,,,,,,,
2025-01-16,https://www.essex.ac.uk/centres-and-institutes/theatre-research,centres-and-institutes,centres-and-institutes,theatre-research,theatre-research,,,,,,,,,,,,
2025-02-20,https://www.essex.ac.uk/centres-and-institutes/film-and-screen-media,centres-and-institutes,centres-and-institutes,film-and-screen-media,film-and-screen-media,,,,,,,,,,,,
2025-02-26,https://www.essex.ac.uk/centres-and-institutes/healthcare-science,centres-and-institutes,centres-and-institutes,healthcare-science,healthcare-science,,,,,,,,,,,,
2025-03-06,https://www.essex.ac.uk/centres-and-institutes/public-history,centres-and-institutes,centres-and-institutes,public-history,public-history,,,,,,,,,,,,
2025-04-02,https://www.essex.ac.uk/centres-and-institutes/computational-intelligence,centres-and-institutes,centres-and-institutes,computational-intelligence,computational-intelligence,,,,,,,,,,,,
2025-03-24,https://www.essex.ac.uk/centres-and-institutes/accountability-and-global-development,centres-and-institutes,centres-and-institutes,accountability-and-global-development,accountability-and-global-development,,,,,,,,,,,,
2025-05-09,https://www.essex.ac.uk/centres-and-institutes/interdisciplinary-research-in-literary-studies,centres-and-institutes,centres-and-institutes,interdisciplinary-research-in-literary-studies,interdisciplinary-research-in-literary-studies,,,,,,,,,,,,
2025-04-18,https://www.essex.ac.uk/centres-and-institutes/health-wellbeing-and-care-hub,centres-and-institutes,centres-and-institutes,health-wellbeing-and-care-hub,health-wellbeing-and-care-hub,,,,,,,,,,,,
2025-04-28,https://www.essex.ac.uk/centres-and-institutes/criminology,centres-and-institutes,centres-and-institutes,criminology,criminology,,,,,,,,,,,,
2025-05-12,https://www.essex.ac.uk/centres-and-institutes/commons-organising-values-equalities-and-resilience,centres-and-institutes,centres-and-institutes,commons-organising-values-equalities-and-resilience,commons-organising-values-equalities-and-resilience,,,,,,,,,,,,
2023-07-24,https://www.essex.ac.uk/sport/facilities/womens-high-performance-football-centre,sport,sport,facilities,facilities,womens-high-performance-football-centre,womens-high-performance-football-centre,,,,,,,,,,
2023-05-02,https://www.essex.ac.uk/about/equality-diversity-inclusion,about,about,equality-diversity-inclusion,equality-diversity-inclusion,,,,,,,,,,,,
2023-09-19,https://www.essex.ac.uk/sport/community-engagement,sport,sport,community-engagement,community-engagement,,,,,,,,,,,,
2023-08-17,https://www.essex.ac.uk/test/ebs-landing-demo,test,test,ebs-landing-demo,ebs-landing-demo,,,,,,,,,,,,
2023-11-23,https://www.essex.ac.uk/departments/government,departments,departments,government,government,,,,,,,,,,,,
2024-01-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies,departments,departments,psychosocial-and-psychoanalytic-studies,psychosocial-and-psychoanalytic-studies,,,,,,,,,,,,
2023-10-12,https://www.essex.ac.uk/governance-and-strategy/university-strategy,governance-and-strategy,governance-and-strategy,university-strategy,university-strategy,,,,,,,,,,,,
2024-04-16,https://www.essex.ac.uk/postgraduate/research,postgraduate,postgraduate,research,research,,,,,,,,,,,,
2024-05-16,https://www.essex.ac.uk/wivenhoe-park,wivenhoe-park,wivenhoe-park,,,,,,,,,,,,,,
2024-05-16,https://www.essex.ac.uk/event-series,event-series,event-series,,,,,,,,,,,,,,
2024-05-16,https://www.essex.ac.uk/governance-and-strategy,governance-and-strategy,governance-and-strategy,,,,,,,,,,,,,,
2024-03-06,https://www.essex.ac.uk/jobs/women-in-stem,jobs,jobs,women-in-stem,women-in-stem,,,,,,,,,,,,
2024-06-26,https://www.essex.ac.uk/about,about,about,,,,,,,,,,,,,,
2024-05-16,https://www.essex.ac.uk/global,global,global,,,,,,,,,,,,,,
2024-03-18,https://www.essex.ac.uk/life/accommodation/colchester/volunteer-square,life,life,accommodation,accommodation,colchester,colchester,volunteer-square,volunteer-square,,,,,,,,
2024-03-18,https://www.essex.ac.uk/life/accommodation/colchester/startup-square,life,life,accommodation,accommodation,colchester,colchester,startup-square,startup-square,,,,,,,,
2024-08-14,https://www.essex.ac.uk/postgraduate/masters,postgraduate,postgraduate,masters,masters,,,,,,,,,,,,
2024-08-30,https://www.essex.ac.uk/research,research,research,,,,,,,,,,,,,,
2024-09-03,https://www.essex.ac.uk/business,business,business,,,,,,,,,,,,,,
2024-09-16,https://www.essex.ac.uk/departments/economics,departments,departments,economics,economics,,,,,,,,,,,,
