course_url,course_name,degree_type
https://www.essex.ac.uk/courses/UG01433/1/BA-Curating-with-Politics,Curating With Politics,BA
https://www.essex.ac.uk/courses/UG00022/2/BA-Art-History-and-History,Art History And History,BA
https://www.essex.ac.uk/courses/PR01065/1/PhD-Curating,Curating,PhD
https://www.essex.ac.uk/courses/UG00165/2/BA-Film-Studies-and-Art-History,Film Studies And Art History,BA
https://www.essex.ac.uk/courses/UG00021/1/BA-Art-History,Art History,BA
https://www.essex.ac.uk/courses/PG00456/1/MA-Art-History-and-Theory,Art History And Theory,MA
https://www.essex.ac.uk/courses/PR00866/1/PhD-Art-History-and-Theory,Art History And Theory,PhD
https://www.essex.ac.uk/courses/UG01435/1/BA-Art-History-Heritage-and-Museum-Studies,Art History Heritage And Museum Studies,BA
https://www.essex.ac.uk/courses/UG00025/1/BA-Art-History-with-Modern-Languages,Art History With Modern Languages,BA
https://www.essex.ac.uk/courses/UG00023/2/BA-Art-History-and-Modern-Languages,Art History And Modern Languages,BA
https://www.essex.ac.uk/courses/UG01368/1/BA-Art-History-Visual-Culture-and-Media-Studies,Art History Visual Culture And Media Studies,BA
https://www.essex.ac.uk/courses/PG01431/1/MA-Heritage-and-Museum-Studies,Heritage And Museum Studies,MA
https://www.essex.ac.uk/courses/PG00591/3/MA-Curating,Curating,MA
https://www.essex.ac.uk/courses/UG00322/2/BA-Philosophy-and-Art-History,Philosophy And Art History,BA
https://www.essex.ac.uk/courses/UG00025/2/BA-Art-History-with-Modern-Languages,Art History With Modern Languages,BA
https://www.essex.ac.uk/courses/UG00023/1/BA-Art-History-and-Modern-Languages,Art History And Modern Languages,BA
https://www.essex.ac.uk/courses/PR01624/3/MSc-by-Dissertation-Cancer-Biology,By Dissertation Cancer Biology,MSc
https://www.essex.ac.uk/courses/PG01046/1/MSc-Cancer-Biology,Cancer Biology,MSc
https://www.essex.ac.uk/courses/PG00469/1/MSc-Biotechnology,Biotechnology,MSc
https://www.essex.ac.uk/courses/PG00686/1/MSc-Molecular-Medicine,Molecular Medicine,MSc
https://www.essex.ac.uk/courses/PR00950/1/PhD-Molecular-Medicine,Molecular Medicine,PhD
https://www.essex.ac.uk/courses/UG01417/1/Integrated-Master-in-Science-Biochemistry-and-Biotechnology,Master In Science Biochemistry And Biotechnology,Integrated
https://www.essex.ac.uk/courses/UG00033/1/BSc-Biochemistry,Biochemistry,BSc
https://www.essex.ac.uk/courses/PR00867/1/PhD-Biochemistry,Biochemistry,PhD
https://www.essex.ac.uk/courses/PR00950/3/MSc-by-Dissertation-Molecular-Medicine,By Dissertation Molecular Medicine,MSc
https://www.essex.ac.uk/courses/PR01624/1/PhD-Cancer-Biology,Cancer Biology,PhD
https://www.essex.ac.uk/courses/PR00867/3/MSc-by-Dissertation-Biochemistry,By Dissertation Biochemistry,MSc
https://www.essex.ac.uk/courses/PR00873/1/PhD-Bio-Statistics,Bio Statistics,PhD
https://www.essex.ac.uk/courses/PR00870/1/PhD-Biological-Sciences,Biological Sciences,PhD
https://www.essex.ac.uk/courses/PR00868/1/PhD-Bioinformatics,Bioinformatics,PhD
https://www.essex.ac.uk/courses/PR00946/1/PhD-Microbiology,Microbiology,PhD
https://www.essex.ac.uk/courses/PR00942/2/MPhil-Mathematical-Biology,Mathematical Biology,MPhil
https://www.essex.ac.uk/courses/UG00102/1/BSc-Ecology-and-Environmental-Biology,Ecology And Environmental Biology,BSc
https://www.essex.ac.uk/courses/UG00039/1/BSc-Biomedical-Science,Biomedical Science,BSc
https://www.essex.ac.uk/courses/PR00876/1/PhD-Cell-and-Molecular-Biology,Cell And Molecular Biology,PhD
https://www.essex.ac.uk/courses/UG00039/2/BSc-Biomedical-Science,Biomedical Science,BSc
https://www.essex.ac.uk/courses/PR00904/1/PhD-Environmental-Biology,Environmental Biology,PhD
https://www.essex.ac.uk/courses/UG00039/3/BSc-Biomedical-Science,Biomedical Science,BSc
https://www.essex.ac.uk/courses/UG00263/1/BSc-Marine-Biology,Marine Biology,BSc
https://www.essex.ac.uk/courses/PR00942/1/PhD-Mathematical-Biology,Mathematical Biology,PhD
https://www.essex.ac.uk/courses/UG00263/2/BSc-Marine-Biology,Marine Biology,BSc
https://www.essex.ac.uk/courses/UG01128/1/BSc-Biotechnology,Biotechnology,BSc
https://www.essex.ac.uk/courses/UG00039/4/Integrated-Master-in-Science-Biomedical-Science,Master In Science Biomedical Science,Integrated
https://www.essex.ac.uk/courses/PR00873/2/MPhil-Bio-Statistics,Bio Statistics,MPhil
https://www.essex.ac.uk/courses/UG01419/1/Integrated-Master-in-Science-Tropical-Marine-Biology,Master In Science Tropical Marine Biology,Integrated
https://www.essex.ac.uk/courses/UG01340/1/BSc-Human-Biology,Human Biology,BSc
https://www.essex.ac.uk/courses/UG01498/1/BSc-Global-Sustainability,Global Sustainability,BSc
https://www.essex.ac.uk/courses/UG00038/1/BSc-Biological-Sciences,Biological Sciences,BSc
https://www.essex.ac.uk/courses/UG01570/1/BSc-Microbiology,Microbiology,BSc
https://www.essex.ac.uk/courses/PG00837/1/MSc-Tropical-Marine-Biology,Tropical Marine Biology,MSc
https://www.essex.ac.uk/courses/PG01365/1/MSc-Health-Genomics,Health Genomics,MSc
https://www.essex.ac.uk/courses/PG01511/1/MSc-Marine-Science-and-Sustainable-Development,Marine Science And Sustainable Development,MSc
https://www.essex.ac.uk/courses/PR01068/1/PhD-Plant-Biology,Plant Biology,PhD
https://www.essex.ac.uk/courses/UG00178/1/BSc-Genetics,Genetics,BSc
https://www.essex.ac.uk/courses/UG00038/2/BSc-Biological-Sciences,Biological Sciences,BSc
https://www.essex.ac.uk/courses/PR00873/3/MSc-by-Dissertation-Bio-Statistics,By Dissertation Bio Statistics,MSc
https://www.essex.ac.uk/courses/PR00870/3/MSc-by-Dissertation-Biological-Sciences,By Dissertation Biological Sciences,MSc
https://www.essex.ac.uk/courses/PR00946/3/MSc-by-Dissertation-Microbiology,By Dissertation Microbiology,MSc
https://www.essex.ac.uk/courses/PR00876/3/MSc-by-Dissertation-Cell-and-Molecular-Biology,By Dissertation Cell And Molecular Biology,MSc
https://www.essex.ac.uk/courses/UG01377/1/BA-Global-Studies-with-Business-Management,Global Studies With Business Management,BA
https://www.essex.ac.uk/courses/UG00047/1/BA-Business-Management-with-a-Modern-Language,Business Management With A Modern Language,BA
https://www.essex.ac.uk/courses/PR00939/1/PhD-Management,Management,PhD
https://www.essex.ac.uk/courses/PG00472/4/Master-of-Business-Administration-The-Essex-MBA,Of Business Administration The Essex Mba,Master
https://www.essex.ac.uk/courses/UG01393/1/BSc-International-Business-and-Finance,International Business And Finance,BSc
https://www.essex.ac.uk/courses/PG00670/3/MSc-Management,Management,MSc
https://www.essex.ac.uk/courses/UG00216/1/BSc-International-Business-and-Entrepreneurship,International Business And Entrepreneurship,BSc
https://www.essex.ac.uk/courses/PR00940/6/PhD-Management-Studies,Management Studies,PhD
https://www.essex.ac.uk/courses/UG00046/1/BA-Business-Management-and-Modern-Languages,Business Management And Modern Languages,BA
https://www.essex.ac.uk/courses/PG00670/6/MSc-Management,Management,MSc
https://www.essex.ac.uk/courses/PG01367/1/MSc-Organisational-Change-Management,Organisational Change Management,MSc
https://www.essex.ac.uk/courses/PR00903/1/PhD-Entrepreneurship,Entrepreneurship,PhD
https://www.essex.ac.uk/courses/UG00256/1/BSc-Marketing-Management,Marketing Management,BSc
https://www.essex.ac.uk/courses/PG01564/1/MSc-Leadership-in-Health-and-Care,Leadership In Health And Care,MSc
https://www.essex.ac.uk/courses/UG01063/1/LLB-Law-with-Business,Law With Business,LLB
https://www.essex.ac.uk/courses/UG00043/1/BBA-Business-Administration,Business Administration,BBA
https://www.essex.ac.uk/courses/PG00472/2/Master-of-Business-Administration-The-Essex-MBA,Of Business Administration The Essex Mba,Master
https://www.essex.ac.uk/courses/PR00875/1/PhD-Business-Administration,Business Administration,PhD
https://www.essex.ac.uk/courses/PG00472/1/Master-of-Business-Administration-The-Essex-MBA,Of Business Administration The Essex Mba,Master
https://www.essex.ac.uk/courses/PG00671/1/MA-Management-and-Organisational-Dynamics,Management And Organisational Dynamics,MA
https://www.essex.ac.uk/courses/PG01101/2/Master-of-Business-Management-MBM,Of Business Management Mbm,Master
https://www.essex.ac.uk/courses/UG01297/1/BA-Business-Economics,Business Economics,BA
https://www.essex.ac.uk/courses/PG01023/1/MSc-Business-Analytics,Business Analytics,MSc
https://www.essex.ac.uk/courses/PG00631/1/MSc-International-Business-and-Entrepreneurship,International Business And Entrepreneurship,MSc
https://www.essex.ac.uk/courses/PG00581/1/MSc-Finance-and-Management,Finance And Management,MSc
https://www.essex.ac.uk/courses/PR00940/2/PhD-Management-Studies,Management Studies,PhD
https://www.essex.ac.uk/courses/PG00595/1/MSc-Global-Project-Management,Global Project Management,MSc
https://www.essex.ac.uk/courses/PR00939/2/PhD-Management,Management,PhD
https://www.essex.ac.uk/courses/UG01545/1/BSc-Business-and-Human-Resource-Management,Business And Human Resource Management,BSc
https://www.essex.ac.uk/courses/PR00939/5/PhD-Management,Management,PhD
https://www.essex.ac.uk/courses/PG00558/1/MSc-Entrepreneurship-and-Innovation,Entrepreneurship And Innovation,MSc
https://www.essex.ac.uk/courses/UG00045/2/BSc-Business-Management,Business Management,BSc
https://www.essex.ac.uk/courses/UG00256/2/BSc-Marketing-Management,Marketing Management,BSc
https://www.essex.ac.uk/courses/PR01372/1/PhD-Human-Resource-Management-and-Organisation-Studies,Human Resource Management And Organisation Studies,PhD
https://www.essex.ac.uk/courses/PR00980/1/Professional-Doctorate-Social-Services-Management,Doctorate Social Services Management,Professional
https://www.essex.ac.uk/courses/UG01504/1/BSc-Business-Administration-and-Supply-Chain-Management,Business Administration And Supply Chain Management,BSc
https://www.essex.ac.uk/courses/PR00919/1/Professional-Doctorate-Health-Service-Management,Doctorate Health Service Management,Professional
https://www.essex.ac.uk/courses/PG00671/2/Postgraduate-Diploma-Management-and-Organisational-Dynamics,Diploma Management And Organisational Dynamics,Postgraduate
https://www.essex.ac.uk/courses/PR00903/2/PhD-Entrepreneurship,Entrepreneurship,PhD
https://www.essex.ac.uk/courses/PG01036/1/MSc-Human-Resource-Management,Human Resource Management,MSc
https://www.essex.ac.uk/courses/PG00670/2/MSc-Management,Management,MSc
https://www.essex.ac.uk/courses/UG00045/1/BSc-Business-Management,Business Management,BSc
https://www.essex.ac.uk/courses/UG01601/1/BSc-Business-and-Analytics,Business And Analytics,BSc
https://www.essex.ac.uk/courses/UG01376/1/BA-Philosophy-with-Business-Management,Philosophy With Business Management,BA
https://www.essex.ac.uk/courses/PG00670/1/MSc-Management,Management,MSc
https://www.essex.ac.uk/courses/PR01043/1/PhD-Business-Analytics,Business Analytics,PhD
https://www.essex.ac.uk/courses/PG00430/1/MRes-Management-Research,Management Research,MRes
https://www.essex.ac.uk/courses/PG00472/5/Master-of-Business-Administration-The-Essex-MBA,Of Business Administration The Essex Mba,Master
https://www.essex.ac.uk/courses/UG01392/1/Integrated-Master-in-Management-Marketing-Management,Master In Management Marketing Management,Integrated
https://www.essex.ac.uk/courses/PG01102/1/MSc-International-Logistics-and-Supply-Chain-Management,International Logistics And Supply Chain Management,MSc
https://www.essex.ac.uk/courses/PG01655/1/MSc-Policing-and-Data-Analytics,Policing And Data Analytics,MSc
https://www.essex.ac.uk/courses/PR00875/2/PhD-Business-Administration,Business Administration,PhD
https://www.essex.ac.uk/courses/PG01654/1/MA-Policing,Policing,MA
https://www.essex.ac.uk/courses/PG01407/1/MA-Childhood-Studies,Childhood Studies,MA
https://www.essex.ac.uk/courses/UG01121/2/BA-Childhood-Studies,Childhood Studies,BA
https://www.essex.ac.uk/courses/UG01121/1/BA-Childhood-Studies,Childhood Studies,BA
https://www.essex.ac.uk/courses/PR01388/1/PhD-Childhood-Studies,Childhood Studies,PhD
https://www.essex.ac.uk/courses/PG00605/1/MSc-Artificial-Intelligence-in-Finance,Artificial Intelligence In Finance,MSc
